@relation product

@attribute carbs numeric
@attribute sugar numeric
@attribute fat numeric
@attribute saturatedfat numeric
@attribute salt numeric
@attribute energy numeric
@attribute sodium numeric
@attribute proteins numeric
@attribute fiber numeric
@attribute class {Bread,Soda,Cereal}

@data
60.000000,19.000000,5.500000,2.000000,0.080000,1443.000000,0.032000,9.000000,-1.000000,Cereal
66.200000,13.200000,2.000000,0.500000,0.630000,1498.000000,0.252000,11.100000,15.500000,Cereal
58.700000,0.700000,7.000000,1.200000,0.020000,1549.000000,0.008000,12.500000,10.000000,Cereal
48.000000,18.000000,3.500000,0.700000,0.950000,1400.000000,0.380000,14.000000,27.000000,Cereal
28.500000,1.400000,23.300000,2.900000,0.000000,1833.000000,0.000000,20.800000,16.900000,Cereal
79.000000,15.000000,1.500000,0.300000,1.000000,1569.000000,0.400000,9.000000,-1.000000,Cereal
61.900000,15.700000,10.100000,3.500000,0.010000,1699.000000,0.004000,9.900000,13.100000,Cereal
27.000000,10.000000,63.000000,4.000000,0.100000,1717.000000,0.040000,12.000000,9.000000,Cereal
17.800000,4.200000,1.500000,-1.000000,0.100000,427.000000,0.040000,3.000000,2.200000,Cereal
28.300000,1.400000,25.600000,3.400000,0.000000,1864.000000,0.000000,20.000000,16.300000,Cereal
52.900002,14.200000,18.900000,7.300000,-1.000000,7816.000000,-1.000000,9.300000,13.900000,Cereal
74.000000,19.000000,7.000000,4.000000,0.700000,1693.000000,0.280000,7.500000,6.000000,Cereal
58.700000,1.200000,6.400000,1.200000,0.030000,1529.000000,0.012000,12.700000,9.200000,Cereal
32.000000,5.200000,4.800000,0.700000,0.010000,812.000000,0.004000,4.100000,3.100000,Cereal
59.000000,12.000000,18.000000,1.900000,0.200000,1882.000000,0.080000,8.500000,8.500000,Cereal
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Cereal
59.700000,15.800000,10.500000,2.300000,0.020000,1653.000000,0.008000,13.100000,5.000000,Cereal
69.000000,4.400000,2.000000,0.600000,0.280000,1515.000000,0.112000,12.000000,10.000000,Cereal
63.000000,19.000000,15.000000,4.100000,0.300000,1823.000000,0.120000,6.300000,9.300000,Cereal
60.000000,5.000000,15.000000,2.000000,0.000000,1862.000000,0.000000,12.000000,8.000000,Cereal
